"Weight set: ","[0.0, 0.1, 0.0, 0.0]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"2-ketoglutarate_dehydrogenase_complex","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.184","0.034","0.018"
"4-aminobutyrate_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.009","0.013"
"<i>myo</i>-inositol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.184","0.000","0.018"
"abc_transporters","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.184","0.000","0.018"
"acetate_utilization","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.127","0.009","0.013"
"acetoin_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.335","0.000","0.034"
"aerobic_glycerol_catabolism","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.686","0.000","0.069"
"aerobic_respiration,_electron_transport_chain","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.842","0.579","0.084"
"alanine,_aspartate_and_glutamate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.872","0.517","0.087"
"alanine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.034","0.024"
"alanine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.066","0.000","0.007"
"allantoin_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.066","0.024"
"alpha-linolenic_acid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.127","0.009","0.013"
"aminoacyl-trna_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.931","0.066","0.093"
"anaerobic_respiration","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.127","0.000","0.013"
"arachidonic_acid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.288","0.000","0.029"
"arginine_and_proline_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.872","0.375","0.087"
"arginine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.458","0.113","0.046"
"arginine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.288","0.058","0.029"
"asparagine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.050","0.024"
"asparagine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.379","0.164","0.038"
"aspartate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.050","0.024"
"basal_transcription_factors","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.806","0.000","0.081"
"base_excision_repair","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.686","0.000","0.069"
