"intpathway","wikipathways","LCS","Gene Agreement","GenePair Agreement"
"fatty_acid_oxidation","sc_cytoplasmic_trna_synthetases_wp219_76236","6","0.951","1.000"
"fatty_acid_oxidation","sc_trehalose_biosynthesis_wp239_70272","6","0.951","1.000"
"fatty_acid_oxidation","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","14","0.951","1.000"
"fatty_acid_oxidation","sc_fatty_acid_elongation,_unsaturated_wp16_71346","17","0.951","1.000"
"fatty_acid_oxidation","sc_upiquinone_q_prenylation_wp287_69848","8","0.951","1.000"
"fatty_acid_oxidation","sc_anaerobic_respiration_wp575_73676","10","0.951","1.000"
"fatty_acid_oxidation","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","15","0.951","1.000"
"fatty_acid_oxidation","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","10","0.951","1.000"
"fatty_acid_oxidation","sc_allantoin_degradation_wp328_71348","10","0.951","1.000"
"fatty_acid_oxidation","sc_sulfur_degradation_wp440_69875","9","0.951","1.000"
"fatty_acid_oxidation","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","10","0.951","1.000"
"fatty_acid_oxidation","sc_pentose_phosphate_pathway_wp369_69863","6","0.951","1.000"
"fatty_acid_oxidation","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","14","0.951","1.000"
"fatty_acid_oxidation","sc_eukaryotic_transcription_initiation_wp425_77440","13","0.951","1.000"
"fatty_acid_oxidation","sc_sulfate_assimilation_pathway_ii_wp579_70251","12","0.951","1.000"
"fatty_acid_oxidation","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","10","0.951","1.000"
"fatty_acid_oxidation","sc_methionine_degradation_wp46_69881","10","0.951","1.000"
"fatty_acid_oxidation","sc_threonine_and_methionine_biosynthesis_wp423_69874","10","0.951","1.000"
"fatty_acid_oxidation","sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","9","0.951","1.000"
"fatty_acid_oxidation","sc_pentose_phosphate_pathway_2_wp670_73392","6","0.951","1.000"
"fatty_acid_oxidation","sc_p-hydroxybenzoate_biosynthesis_wp315_69851","9","1.000","1.000"
"fatty_acid_oxidation","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","11","0.951","1.000"
"fatty_acid_oxidation","sc_asparagine_biosynthesis_wp67_71349","7","0.951","1.000"
"fatty_acid_oxidation","sc_phenylalanine_biosynthesis_wp194_69817","7","0.951","1.000"
"fatty_acid_oxidation","sc_tryptophan_biosynthesis_wp165_71899","7","0.951","1.000"
"fatty_acid_oxidation","sc_glycerol_teichoic_acid_biosynthesis_wp563_70042","10","0.951","1.000"
"fatty_acid_oxidation","sc_core_lipid-linked_oligosaccharide_biosynthesis_wp114_69752","11","0.951","1.000"
"fatty_acid_oxidation","sc_de_novo_biosyn._of_pyrimidine_deoxyribonucleotides_wp36_72053","10","0.951","1.000"
"fatty_acid_oxidation","sc_pathways_of_chorismate_wp213_71175","9","0.951","1.000"
"fatty_acid_oxidation","sc_tca_cycle_wp490_78394","4","0.951","1.000"
"fatty_acid_oxidation","sc_glucose_repression_wp2836_78395","6","0.951","1.000"
"fatty_acid_oxidation","sc_nucleotide_metabolism_wp321_71895","7","0.951","1.000"
"fatty_acid_oxidation","sc_arginine_degradation_wp54_70247","10","0.951","1.000"
"fatty_acid_oxidation","sc_isoleucine_and_valine_biosynthesis_wp359_69861","9","0.951","1.000"
"fatty_acid_oxidation","sc_fatty_acid_oxidation_wp91_71343","20","0.951","1.000"
"fatty_acid_oxidation","sc_p-cymene_degradation_wp181_69808","9","0.951","1.000"
"fatty_acid_oxidation","sc_tyrosine_biosynthesis_wp538_69941","7","0.951","1.000"
"fatty_acid_oxidation","sc_lipases_biosynthesis_wp71_70049","7","0.951","1.000"
"fatty_acid_oxidation","sc_glutamate_degradation_viii_wp99_70055","10","0.951","1.000"
"fatty_acid_oxidation","sc_threonine_biosynthesis_wp331_70271","7","0.951","1.000"
"fatty_acid_oxidation","sc_fatty_acid_elongation,_saturated_wp380_69867","17","0.951","1.000"
"fatty_acid_oxidation","sc_de_novo_nad_biosynthesis_wp541_69942","8","0.951","1.000"
"fatty_acid_oxidation","sc_protein_modifications_wp346_69859","10","0.951","1.000"
"fatty_acid_oxidation","sc_polyamine_biosynthesis_wp290_69849","7","0.951","1.000"
"fatty_acid_oxidation","sc_arginine_biosynthesis_wp275_69844","7","0.951","1.000"
"fatty_acid_oxidation","sc_valine_biosynthesis_wp2_78390","7","0.951","1.000"
"fatty_acid_oxidation","sc_sucrose_biosynthesis_wp14_69669","6","0.951","1.000"
"fatty_acid_oxidation","sc_serine-isocitrate_lyase_pathway_wp390_69869","7","0.951","1.000"
"fatty_acid_oxidation","sc_glutathione_biosynthesis_wp196_76277","7","0.951","1.000"
"fatty_acid_oxidation","sc_glycogen_catabolism_wp478_70263","6","0.951","1.000"
"fatty_acid_oxidation","sc_glutamate_degradation_vii_wp559_70041","10","0.951","1.000"
"fatty_acid_oxidation","sc_galactose_metabolism_wp549_69945","6","0.951","1.000"
"fatty_acid_oxidation","sc_aerobic_glycerol_catabolism_wp224_71353","8","0.951","1.000"
"fatty_acid_oxidation","sc_deoxyribose_phosphate_metabolism_wp228_69829","8","0.951","1.000"
"fatty_acid_oxidation","sc_gluconeogenesis_wp156_69762","5","0.951","1.000"
"fatty_acid_oxidation","sc_nad_biosynthesis_wp84_71345","7","0.951","1.000"
"fatty_acid_oxidation","sc_riboflavin,_fmn,_and_fad_biosynthesis_wp381_71896","10","0.951","1.000"
"fatty_acid_oxidation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.951","1.000"
"fatty_acid_oxidation","sc_udp-glucose_conversion_wp109_69750","7","0.951","1.000"
"fatty_acid_oxidation","sc_de_novo_biosynthesis_of_pyrimidine_ribonucleotides_wp92_71184","9","0.951","1.000"
"fatty_acid_oxidation","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","10","0.951","1.000"
"fatty_acid_oxidation","sc_trehalose_degradation,_low_osmolarity_wp70_70048","9","0.951","1.000"
"fatty_acid_oxidation","sc_leucine_biosynthesis_wp180_69807","7","0.951","1.000"
"fatty_acid_oxidation","sc_toluene_degradation_wp60_78389","9","0.951","1.000"
"fatty_acid_oxidation","sc_triglyceride_biosynthesis_wp266_69843","9","0.951","1.000"
"fatty_acid_oxidation","sc_glycolysis_wp253_69832","4","0.951","1.000"
"fatty_acid_oxidation","sc_rump_cycle_and_formaldehyde_assimilation_wp332_71344","12","0.951","1.000"
"fatty_acid_oxidation","sc_proteasome_degradation_wp158_77442","9","0.951","1.000"
"fatty_acid_oxidation","sc_tryptophan_degradation_wp301_67723","10","0.951","1.000"
"fatty_acid_oxidation","sc_glucose-1-phosphate_metabolism_wp260_69835","6","0.951","1.000"
"fatty_acid_oxidation","sc_panothenate_and_coenzyme_a_biosynthesis_wp462_70472","12","0.951","1.000"
"fatty_acid_oxidation","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","10","0.951","1.000"
"fatty_acid_oxidation","sc_glutamate_biosynthesis_wp77_71350","7","0.951","1.000"
"fatty_acid_oxidation","sc_lactose_degradation_wp546_69943","10","0.951","1.000"
"fatty_acid_oxidation","sc_isoleucine_biosynthesis_wp250_69831","7","0.951","1.000"
"fatty_acid_oxidation","sc_glycolysis_and_gluconeogenesis_wp515_78397","8","0.951","1.000"
"fatty_acid_oxidation","sc_asparagine_degradation_wp432_71892","10","0.951","1.000"
"fatty_acid_oxidation","sc_tca_cycle_-_detailed_wp296_76239","7","0.951","1.000"
"fatty_acid_oxidation","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","9","0.951","1.000"
